id, danceability, energy, loudness, speechiness, acousticness, instrumentalness, liveness, valence, tempo, popularity
4lIxdJw6W3Fg4vUIYCB0S5,0.598,0.786,-5.572,0.0383,0.00253,0.0016,0.117,0.456,95.019,79
5OndtwLGA9O6XHFcGm2H7r,0.552,0.842,-6.938,0.0373,0.00103,1.17e-05,0.337,0.343,91.991,70
5xTtaWoae3wi06K5WfVUUH,0.647,0.785,-5.414,0.165,0.0561,0,0.148,0.943,160.015,77
59HjlYCeBsxdI0fcm3zglw,0.554,0.666,-7.414,0.0747,0.0702,0.00593,0.106,0.472,140.056,75
06WgOCf0LV2h4keYXDRnuh,0.81,0.379,-7.771,0.0349,0.241,0,0.113,0.22,103.981,59
2gVhfX2Gy1T9kDuS9azrF7,0.392,0.574,-9.195,0.17,0.833,0.00179,0.145,0.529,81.112,71
3Dby3p1m6IOZn2gIIqECgK,0.512,0.462,-10.491,0.0408,0.83,0.166,0.121,0.353,112.05,69
6sQckd3Z8NPxVVKUnavY1F,0.575,0.434,-8.193,0.0312,0.735,6.59e-05,0.105,0.348,145.916,70
6uwfVkaOM1mcMkFmSn35ix,0.546,0.613,-7.589,0.0264,0.418,0,0.103,0.535,79.015,68
66tOfHVH3aUrscg8vExRV4,0.605,0.488,-8.322,0.0264,0.696,0,0.129,0.354,119.966,66
43Ykum9T72UOPhBN31grpN,0.515,0.545,-9.277,0.0353,0.855,1.97e-05,0.0921,0.535,88.856,67
3zwMVvkBe2qIKDObWgXw4N,0.581,0.619,-6.524,0.0282,0.769,0.000106,0.117,0.645,137.915,78
1gcyHQpBQ1lfXGdhZmWrHP,0.462,0.24,-12.077,0.0377,0.92,0,0.113,0.32,171.319,72
77sMIMlNaSURUAXq5coCxE,0.569,0.741,-4.963,0.0282,0.0122,0,0.333,0.43,100.118,78
550erGcdD9n6PnwxrvYqZT,0.788,0.571,-6.135,0.0296,0.106,0,0.0934,0.797,115.99,70
6YvqWjhGD8mB5QXcbcUKtx,0.627,0.792,-4.311,0.031,0.13,3.97e-06,0.0845,0.415,119.054,79
5YL553x8sHderRBDlm3NM3,0.423,0.517,-7.377,0.0486,0.369,0,0.177,0.366,185.262,71
1qrpoAMXodY6895hGKoUpA,0.632,0.773,-4.856,0.0346,0.0623,0,0.0885,0.474,130.033,83
0k0vFacOHNuArLWMiH60p7,0.578,0.909,-3.669,0.0628,0.0222,0,0.333,0.541,100.023,66
6iiAfo4wTA2CVC3Uwx9uh8,0.506,0.444,-4.99,0.0285,0.0538,0,0.123,0.241,133.873,69
22bPsP2jCgbLUvh82U0Z3M,0.402,0.732,-4.665,0.0484,0.0033,0,0.108,0.472,161.032,83
1msEuwSBneBKpVCZQcFTsU,0.598,0.821,-4.433,0.0447,0.0231,0,0.143,0.673,128.03,72
2CYVETnhM9aytqrazYYwrK,0.66,0.817,-6.269,0.0521,0.162,0,0.0667,0.714,135.942,74
2yLa0QULdQr0qAIvVwN6B5,0.613,0.764,-6.509,0.136,0.0527,0,0.197,0.417,160.015,81
6NFyWDv5CjfwuzoCkw47Xf,0.75,0.404,-10.178,0.0682,0.216,0.000357,0.0911,0.0499,95.045,83
1P17dC1amhFzptugyAO7Il,0.766,0.709,-6.471,0.123,0.204,1.41e-05,0.126,0.506,128.07,82
5PxFv9yJEg9dxvbZggykro,0.574,0.61,-7.283,0.0732,0.122,1.1e-06,0.13,0.374,74.957,73
