danceability, energy, loudness, speechiness, acousticness, instrumentalness, liveness, valence, tempo
0.938,0.606,-6.396,0.419,0.117,0,0.528,0.706,121.10
0.462,0.251,-12.072,0.159,0.414,0,0.201,0.137,89.70
0.686,0.897,-7.18,0.0386,0.0103,0.103,0.153,0.355,129.97
0.447,0.441,-7.658,0.0456,0.874,4.36e-05,0.188,0.286,122.81
0.634,0.844,-3.809,0.042,0.0766,0,0.0904,0.246,85.03
0.491,0.643,-4.309,0.0442,0.187,0,0.109,0.779,162.46
0.571,0.761,-3.485,0.0261,0.0708,0,0.331,0.681,91.99
0.4,0.647,-7.279,0.0337,0.176,5.79e-05,0.11,0.274,84.0
0.415,0.573,-6.567,0.0286,0.28,0.00449,0.0966,0.322,80.9
0.698,0.546,-7.234,0.0559,0.425,0.00314,0.16,0.335,145.04
0.674,0.873,-4.256,0.0285,0.0482,0,0.18,0.946,115.0
0.683,0.764,-5.995,0.0441,0.0427,0,0.0963,0.137,149.94
0.774,0.66,-8.2,0.0328,0.662,0,0.4,0.961,120.02
0.736,0.8,-5.38,0.0525,0.179,0,0.0498,0.961,140.25
0.553,0.587,-6.829,0.0277,0.345,0.1,0.256,0.346,90.01
0.661,0.6,-4.495,0.125,0.401,0,0.141,0.848,148.66
0.544,0.826,-3.848,0.0288,0.0631,1.46e-05,0.113,0.596,142.02
0.639,0.723,-6.462,0.0532,0.511,0,0.167,0.878,136.87
0.645,0.8,-4.272,0.0363,0.0189,1.12e-05,0.0858,0.375,118.97
