id, danceability, energy, loudness, speechiness, acousticness, instrumentalness, liveness, valence, tempo, popularity
5O2P9iiztwhomNh8xkR9lJ,0.672,0.52,-7.747,0.0353,0.859,0,0.115,0.37,120.001,89
1JhuXhMiTBavuRXQTsGOdV,0.462,0.272,-9.274,0.0456,0.846,0,0.138,0.262,86.816,66
59oaowtnqLKFs3vikS0Cn9,0.449,0.399,-8.698,0.0295,0.747,0,0.122,0.613,81.625,46
18ywhG9EvuMMUIdUWxEqp7,0.586,0.0907,-12.907,0.0384,0.985,0.0281,0.126,0.212,77.144,72
2Iyfw8YfKruAagJwGc4G07,0.561,0.111,-15.11,0.0324,0.871,0.205,0.103,0.0607,148.191,71
451GvHwY99NKV4zdKPRWmv,0.816,0.375,-8.053,0.0996,0.607,8.66e-06,0.0933,0.615,114.303,71
5hviCr3lgg6LY6noG6DPKs,0.571,0.438,-7.007,0.0279,0.534,1.56e-05,0.187,0.444,145.948,69
2SyIScNy0qAkOlPEgzNjNi,0.555,0.505,-7.637,0.0324,0.0268,0,0.0784,0.462,77.441,33
5choJDh4o48Y8oIquIlK6P,0.576,0.626,-5.046,0.0285,0.191,0,0.0854,0.347,105.999,18
0LYAZz33PWStmBn3I6GCV6,0.503,0.44,-6.013,0.0323,0.229,0,0.143,0.24,99.926,21
6AURpqbH7V45OwiyQBkgpW,0.444,0.0667,-15.892,0.0491,0.993,0.00016,0.128,0.318,82.602,48
2MKIadkPrRqaivpyn6cnI0,0.831,0.606,-7.694,0.107,0.694,0.000109,0.0635,0.944,100.013,56
47IAJLkYhZag79yvXmT6Lt,0.482,0.273,-13.396,0.043,0.792,0.00223,0.109,0.142,118.952,44
7o8vTKpUe6GvlssjGhZk7d,0.665,0.287,-14.923,0.04,0.938,0.149,0.103,0.386,133.924,50
5K2cBicu96Pf4mrBv3Jojk,0.435,0.191,-12.436,0.0396,0.919,0.033,0.114,0.193,112.1,48
7jzIicmtIpnyXuNJ6f1PRf,0.429,0.728,-4.547,0.0549,0.0835,0.052,0.198,0.274,167.26,25
2XGZUN2GEvdN5Ji6wsMYJz,0.556,0.495,-8.493,0.0459,0.402,0,0.125,0.222,96.042,24
114lgoPVAJlgK3EwUYIufH,0.462,0.497,-8.894,0.0359,0.00146,0.115,0.108,0.134,118.937,18
5MhKHO4FYmpfDryQX9408O,0.531,0.549,-6.204,0.0271,0.0555,1.79e-05,0.177,0.655,144.944,54
5G9AVKld9q7DCrmoY42raf,0.626,0.118,-15.91,0.0305,0.664,0.000169,0.127,0.0682,105.597,44
4YutJsNwBBInE8vemufpQ8,0.468,0.197,-11.727,0.033,0.658,0,0.109,0.249,144.212,71
2P5yIMu2DNeMXTyOANKS6k,0.398,0.717,-5.253,0.0398,0.07,0,0.085,0.487,117.296,77
3sslYZcFKtUvIEWN9lADgr,0.445,0.543,-8.196,0.0272,0.000825,0.0137,0.202,0.102,99.963,78
3pANfZVFdtuVnJsE6xa5Ox,0.497,0.638,-5.31,0.0274,0.0467,0,0.385,0.77,172.01,76
3XCveEutwTaDiekRkkfdp9,0.424,0.342,-9.469,0.0339,0.838,0,0.136,0.124,76.235,74
6jaD8oGpAkZRvJaZ76amtb,0.324,0.152,-11.312,0.0392,0.911,0,0.0957,0.174,89.643,59
0ekibVw919ssbpfHd7VW1r,0.625,0.374,-9.741,0.0296,0.782,0.000112,0.0913,0.114,126.129,30
6Kkt27YmFyIFrcX3QXFi2o,0.587,0.229,-11.254,0.128,0.92,0,0.1,0.379,75.67,74
4pfrrhvplbJZAIsfosGWQP,0.78,0.361,-6.942,0.048,0.75,7.14e-06,0.108,0.163,139.902,71
0KRYCBwIpWYFNrXOmXbyUh,0.612,0.58,-8.572,0.0419,0.525,0.000414,0.26,0.534,130.045,73
2olxzvoFI9IpxqFeUv7WOX,0.688,0.653,-8.558,0.0403,0.481,0.00414,0.106,0.701,147.991,70
5S4aYQAJOwJMAamANWlICO,0.31,0.374,-8.464,0.0275,0.761,2.46e-05,0.11,0.16,75.938,70
5P2bHCDM2tsgIaYWsZMhu5,0.456,0.265,-10.663,0.0328,0.814,0,0.0679,0.112,129.947,71
2I8YAEA1VmCuP1wkJHMpTw,0.549,0.417,-10.064,0.035,0.686,1.9e-06,0.0604,0.347,110.137,70
76mOLcXOjOEhyY4mMF1l3r,0.602,0.494,-10.813,0.0277,0.888,2.59e-05,0.0902,0.374,94.955,69
