name, artist, id, danceability, energy, loudness, speechiness, acousticness, instrumentalness, liveness, valence, tempo, popularity
"Lavender Haze","Taylor Swift",4g2c7NoTWAOSYDy44l9nub,0.735,0.444,-10.519,0.0684,0.204,0.0012,0.17,0.0984,97.038,77
"La Bebe - Remix","Yng Lvcas",2UW7JaomAMuX9pZrjVpHAU,0.812,0.479,-5.678,0.333,0.213,1.21e-06,0.0756,0.559,169.922,97
"As It Was","Harry Styles",4LRPiXqCikLlN15c3yImP7,0.52,0.731,-5.338,0.0557,0.342,0.00101,0.311,0.662,173.93,92
"Thought You Should Know","Morgan Wallen",6NHpyYvJyQsg2nXXzGYc2R,0.529,0.695,-6.174,0.0278,0.488,1.24e-05,0.142,0.514,139.993,77
"Thinkin’ Bout Me","Morgan Wallen",0PAcdVzhPO4gq1Iym9ESnK,0.656,0.757,-5.775,0.0308,0.492,0,0.117,0.429,139.971,86
"I'm Good (Blue)","David Guetta",4uUG5RXrOk84mYEfFvj3cK,0.561,0.965,-3.673,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,95
"One Thing At A Time","Morgan Wallen",1rXq0uoV4KTgRN64jXzIxo,0.613,0.914,-5.153,0.03,0.00522,2.21e-06,0.26,0.916,141.978,83
"Fast Car","Luke Combs",1Lo0QY9cvc8sUB2vnIOxDT,0.712,0.603,-5.52,0.0262,0.186,0,0.115,0.67,97.994,87
"Under The Influence","Chris Brown",5IgjP7X4th6nMNDh4akUHb,0.733,0.69,-5.529,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,91
"Something in the Orange","Zach Bryan",3WMj8moIAXJhHsyLaqIIHI,0.369,0.192,-12.151,0.04,0.555,8.35e-06,0.0954,0.148,175.212,88
"Escapism.","RAYE",5mHdCZtVyb4DcJw8799hZp,0.538,0.742,-5.355,0.114,0.138,4.67e-05,0.0934,0.25,96.107,89
"Thank God","Kane Brown",1brnLTvarI9D1hLP6z2Ar8,0.738,0.455,-8.735,0.0352,0.695,0,0.107,0.441,99.945,78
"SLUT ME OUT","NLE Choppa",5BmB3OaQyYXCqRyN8iR2Yi,0.938,0.606,-6.396,0.419,0.117,0,0.528,0.706,121.108,88
"Unholy (feat. Kim Petras)","Sam Smith",3nqQXoyQOWXiESFLlDF1hG,0.714,0.472,-7.375,0.0864,0.013,4.51e-06,0.266,0.238,131.121,92
"Just Wanna Rock","Lil Uzi Vert",4FyesJzVpA39hbYvcseO2d,0.486,0.545,-7.924,0.0336,0.0652,0.00474,0.0642,0.0385,150.187,91
