danceability, energy, loudness, speechiness, acousticness, instrumentalness, liveness, valence, tempo, popularity
0.523,0.833,-4.374,0.0405,0.00387,0.000339,0.0841,0.482,115.975,60
0.484,0.66,-11.163,0.0358,0.034,0.0812,0.0893,0.742,78.591,59
0.519,0.612,-7.1,0.0254,0.181,7.08e-06,0.105,0.158,134.046,58
0.468,0.907,-3.884,0.0664,0.00987,0.0468,0.109,0.168,119.993,58
0.625,0.366,-8.388,0.0331,0.528,2.1e-05,0.0958,0.219,72.992,58
0.78,0.343,-12.13,0.071,0.413,0.000154,0.307,0.724,83.417,58
0.324,0.116,-20.332,0.0331,0.947,0.000286,0.147,0.399,144.524,58
0.392,0.102,-15.273,0.0308,0.908,0.013,0.111,0.118,128.253,58
0.788,0.258,-11.758,0.104,0.171,0.00721,0.326,0.335,127.492,57
0.939,0.727,-4.349,0.235,0.0346,0,0.0854,0.662,96.968,57
0.525,0.929,-8.56,0.0784,0.262,2.9e-05,0.0754,0.556,163.503,57
0.601,0.511,-7.297,0.038,0.68,0.252,0.0732,0.469,139.955,57
0.614,0.617,-4.23,0.0295,0.641,0.000178,0.0648,0.15,105.933,56
0.585,0.717,-8.379,0.0311,0.0561,0.0148,0.366,0.636,111.563,56
0.506,0.99,-3.857,0.0838,7.3e-05,0.0137,0.665,0.479,136.971,56
0.287,0.721,-5.81,0.0387,0.00764,0,0.328,0.763,169.252,56
0.734,0.268,-12.876,0.0646,0.577,0,0.163,0.666,132.556,55
0.56,0.544,-8.25,0.0284,0.394,5.02e-05,0.224,0.472,82.028,55
0.527,0.716,-6.029,0.0616,0.0698,8.71e-05,0.0737,0.331,99.426,55
0.659,0.667,-7.742,0.0291,0.0432,0.13,0.0863,0.486,129.981,55
0.508,0.362,-9.24,0.0251,0.342,4.48e-05,0.146,0.294,67.339,54
0.712,0.887,-5.049,0.144,0.0192,1.11e-05,0.0597,0.63,98.036,54
0.913,0.201,-9.511,0.147,0.0979,0.486,0.0867,0.52,87.373,54
0.817,0.639,-6.383,0.164,0.0165,0,0.138,0.887,112.951,54
