id, danceability, energy, loudness, speechiness, acousticness, instrumentalness, liveness, valence, tempo, popularity
0qZngsBTYM37fevbe03IlX,0.435,0.404,-13.252,0.0266,0.0366,0.351,0.117,0.366,154.959,46
1tG3zCppK6MN013nd36B3E,0.583,0.508,-5.952,0.0282,0.54,0.00175,0.153,0.499,93.848,49
5OuJTtNve7FxUX82eEBupN,0.565,0.438,-8.722,0.0311,0.122,0.0469,0.108,0.211,133.949,65
0tkBOcK7oRVXQJY97zzSvr,0.589,0.481,-4.801,0.0285,0.273,1.33e-05,0.0986,0.176,93.568,65
0t4z0WaQomQqPONghWn8c2,0.628,0.841,-4.583,0.0268,0.0285,0.00332,0.254,0.706,111.985,60
0HDO6JFfplYPrSWuufUosZ,0.696,0.354,-14.043,0.0353,0.767,0.00158,0.128,0.242,119.938,61
5V0CRoCDeDpGTXZGWPTk3D,0.741,0.117,-12.427,0.049,0.931,0.000164,0.175,0.349,124.087,51
3GahMRXI3rL2JVeSLZBRnF,0.535,0.209,-16.402,0.0257,0.668,0.14,0.129,0.515,137.889,67
6XyjwF7CAwuEaW77noJr6I,0.553,0.685,-10.624,0.0266,0.145,0.859,0.138,0.491,79.998,63
1KIJclzEbNhSVw8tiHPWwE,0.498,0.81,-4.065,0.0263,0.00392,0.00717,0.0635,0.594,79.935,83
2DgaPZppYXSYGCaBceXfTw,0.332,0.786,-4.112,0.0334,0.0295,0.941,0.418,0.444,139.988,56
5L5UG3sCV9Ge58cbDl3mIA,0.744,0.563,-5.968,0.0682,0.0306,0.00131,0.236,0.652,101.083,25
5gKN04ucXhwb5AyiiAn62S,0.778,0.602,-5.591,0.0258,0.26,0.0141,0.153,0.84,105.008,19
3SdTKo2uVsxFblQjpScoHy,0.65,0.306,-9.443,0.0393,0.57,7.07e-06,0.0707,0.605,118.068,81
3iSws76HjaU7k49EqJVTfF,0.736,0.871,-2.786,0.0278,0.466,0,0.108,0.967,122.395,66
4wuu0v0TsGf22iYAgIcKlb,0.57,0.616,-5.727,0.0266,0.303,0.000346,0.118,0.143,119.914,51
1ZMH9Y9CPg95epcXVrL2ZY,0.303,0.583,-6.193,0.0338,0.556,0.147,0.109,0.254,126.403,42
4iwpCp7qdDLngGI3gsVTza,0.562,0.724,-8.627,0.0271,0.0124,1.42e-06,0.223,0.855,113.056,63
6OiRh4kttAs1YWglvTcYkB,0.534,0.724,-4.675,0.0495,0.00605,0.0929,0.108,0.503,81.846,69
4xqrdfXkTW4T0RauPLv3WA,0.357,0.425,-7.301,0.0333,0.584,0,0.322,0.27,102.078,87
4qAHuJq5T4Q97EQZG47H0P,0.426,0.284,-15.492,0.0616,0.406,0.00335,0.362,0.311,112.039,58
3iBOe7U7kRPNIoL3QLCVu2,0.702,0.593,-8.339,0.0532,0.526,1.09e-05,0.112,0.522,145.039,55
1JQ6Xm1JrvHfvAqhl5pwaA,0.589,0.384,-15.075,0.0332,0.112,2.8e-05,0.0596,0.354,132.909,77
0ZK8TGOsngrstVPsnrHbK1,0.515,0.804,-5.345,0.0398,0.00322,0.00229,0.149,0.298,123.969,62
5u9cuDcYdOpSRB7fAYXXdp,0.625,0.645,-5.959,0.0278,0.54,0.0776,0.347,0.685,106.996,66
3NtaLjEfNvafq0UM0dfUoc,0.547,0.39,-14.038,0.0302,0.223,2.47e-05,0.446,0.193,84.345,55
4COAOWTtlt8WgtA7AoxSeT,0.697,0.634,-9.669,0.0356,0.267,0.000387,0.0542,0.883,116.774,48
1GxNPd5r7D1zChEMuMhue0,0.429,0.167,-15.725,0.0298,0.902,0.522,0.109,0.0913,109.071,64
57RA3JGafJm5zRtKJiKPIm,0.682,0.683,-6.444,0.0287,0.156,2.32e-05,0.273,0.64,120.023,80
1B62o4CbdL9ckGvwsz2cgn,0.604,0.36,-10.109,0.0253,0.868,0.0343,0.112,0.37,103.985,81
65j65yDSE06CNKAPjsHoJt,0.587,0.724,-6.775,0.0321,0.618,0.000166,0.157,0.837,106.994,61
2LXtyj95dK56ENS1QLt4IB,0.669,0.0809,-17.282,0.0365,0.983,0.41,0.114,0.0922,114.355,72
3Y4rUyw7XBCK6hGHCOt6rp,0.544,0.241,-14.779,0.03,0.983,0.774,0.101,0.359,109.437,72
6dBUzqjtbnIa1TwYbyw5CM,0.559,0.871,-5.338,0.0397,7.53e-06,0.00545,0.096,0.572,104.97,88
24bzJwjGBWtGCs7xKIKQsB,0.44,0.508,-7.821,0.0274,0.536,0.525,0.0903,0.217,81.097,63
1lORkxEMmsCZqhoxcmk3A3,0.555,0.27,-15.892,0.0888,0.931,0.544,0.103,0.271,139.681,77
7sljA9XJXVCbbXLK5XpDtu,0.66,0.306,-10.895,0.0296,0.953,0.826,0.319,0.491,91.763,50
7c5CreqS7V42ieapzMSnAg,0.622,0.789,-5.235,0.0317,0.0524,0,0.0887,0.463,137.872,43
4AA4xt0NvJCUaJYh9SoZ1y,0.446,0.263,-11.541,0.0403,0.199,0.000305,0.109,0.168,123.696,64
3YYwrOdeMEvmHBWHJ0TmB6,0.337,0.245,-13.442,0.0384,0.92,2.56e-05,0.119,0.107,107.472,50
2keT649m2xIywngAVJHsuC,0.496,0.102,-23.562,0.0455,0.989,0.924,0.111,0.357,154.871,61
4lGu6pGvisz3Zvv1ThCEPd,0.383,0.666,-7.587,0.028,0.543,0.0826,0.111,0.427,97.966,45
3gOD46cBcEEXLPADArJFbe,0.457,0.474,-9.245,0.0324,0.93,0.956,0.0679,0.0381,92.404,17
3dmsgudsfeGdQ9NsZFOm0C,0.819,0.688,-5.967,0.0363,0.0549,0.0568,0.0799,0.961,104.013,61
1igtKwX3EHjN95HanbkHNg,0.568,0.865,-7.401,0.0289,0.472,0.000425,0.0845,0.421,110.85,57
5iMXCDWA4FxPNcOnq0HrpJ,0.627,0.371,-10.621,0.0269,0.638,0.0672,0.0759,0.361,143.932,64
4jNQkWhuzqrbqQuqanFFJ6,0.333,0.114,-21.255,0.0453,0.906,0.96,0.119,0.0566,141.839,64
3vjs2MDHoF9xhylNg6Y9un,0.641,0.365,-11.765,0.027,0.434,8.49e-06,0.297,0.343,134.874,68
2qpacEyFxmbxCpIEqZkqvC,0.659,0.594,-8.494,0.0261,0.162,0.846,0.632,0.851,100.033,72
5Yx9t9RgATAtYoHN8gbRM0,0.511,0.435,-10.254,0.0408,0.301,8.2e-05,0.255,0.343,120.207,69
