id, danceability, energy, loudness, speechiness, acousticness, instrumentalness, liveness, valence, tempo, popularity
7qiZfU4dY1lWllzX7mPBI3,0.825,0.652,-3.183,0.0802,0.581,0,0.0931,0.931,95.977,87
0pqnGHJpmpxLKifKRmU6WP,0.776,0.78,-4.374,0.128,0.0622,0,0.081,0.666,124.949,89
6habFhsOp2NvshLv26DqMb,0.655,0.797,-4.787,0.153,0.198,0,0.067,0.839,177.928,81
1PSBzsahR2AKwLJgx8ehBj,0.697,0.691,-4.757,0.146,0.214,0,0.185,0.305,137.853,72
5knuzwU65gJK7IF5yJsuaW,0.72,0.763,-4.068,0.0523,0.406,0,0.18,0.742,101.965,76
1rfofaqEpACxVEHIZBJe6W,0.765,0.523,-4.333,0.03,0.184,3.56e-05,0.132,0.394,104.988,81
1zB4vmk8tFRmM9UULNzbLB,0.605,0.822,-4.833,0.0438,0.00671,0.134,0.147,0.288,167.997,86
1nueTG77MzNkJTKQ0ZdGzT,0.783,0.61,-6.124,0.0696,0.343,0,0.0983,0.418,100.047,63
6RUKPb4LETWmmr3iAEQktW,0.617,0.635,-6.769,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,86
0tgVpDi06FyKpA1z0VMD4v,0.599,0.448,-6.312,0.0232,0.163,0,0.106,0.168,95.05,89
7JJmb5XwzOO8jgpou264Ml,0.866,0.813,-4.063,0.0554,0.38,0,0.0779,0.969,121.998,87
5uCax9HTNlzGybIStD3vDh,0.358,0.557,-7.398,0.059,0.695,0,0.0902,0.494,85.043,87
5oO3drDxtziYU2H1X23ZIp,0.509,0.637,-4.83,0.0471,0.0717,1.08e-05,0.0789,0.378,172.006,86
7KXjTSCq5nL1LoYtL7XAwS,0.908,0.621,-6.638,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,85
6gBFPUFcJLzWGx4lenP6h2,0.841,0.728,-3.37,0.0484,0.0847,0,0.149,0.43,130.049,85
1mXVgsBdtIVeCLJnSnmtdV,0.681,0.372,-8.237,0.0432,0.64,0,0.169,0.476,91.873,85
0KKkJNfGyhkQ5aFogxQAPU,0.853,0.56,-4.961,0.0406,0.013,0,0.0944,0.86,134.066,85
0WtDGnWL2KrMCk0mI1Gpwz,0.745,0.353,-10.614,0.0983,0.174,0.00662,0.118,0.598,160.111,85
5Ohxk2dO5COHF1krpoPigN,0.516,0.595,-4.63,0.0313,0.0275,0,0.109,0.222,119.972,85
5mCPDVBb16L4XQwDdbRUpz,0.809,0.463,-11.377,0.0396,0.256,0.085,0.109,0.364,111.98,85
04sN26COy28wTXYj3dMoiZ,0.614,0.318,-12.695,0.0478,0.896,0.00239,0.0795,0.112,119.959,84
6PGoSes0D9eUDeeAafB2As,0.8,0.585,-7.343,0.0924,0.264,0,0.153,0.779,126.058,84
7m9OqQk4RVRkw9JJdeAw96,0.872,0.391,-9.144,0.242,0.469,4.13e-06,0.297,0.437,134.021,84
3B54sVLJ402zGa6Xm4YGNe,0.726,0.769,-5.043,0.123,0.0293,0.0101,0.104,0.733,97.985,84
5cF0dROlMOK5uNZtivgu50,0.775,0.613,-4.586,0.0542,0.109,2.33e-05,0.134,0.797,100.066,84
48QmG1dfvMuYLxMPt7KSRA,0.742,0.882,-2.862,0.117,0.0466,0,0.206,0.463,102.04,83
0VgkVdmE4gld66l8iyGjgx,0.833,0.434,-8.795,0.431,0.0102,0.0219,0.165,0.281,150.062,83
7GX5flRQZVHRAGd6B4TmDO,0.732,0.75,-6.366,0.231,0.00264,0,0.109,0.401,155.096,83
3a1lNhkSLSkpJE4MSHpDu9,0.63,0.804,-4.183,0.0363,0.215,0,0.253,0.492,123.146,82
1P17dC1amhFzptugyAO7Il,0.766,0.709,-6.471,0.123,0.204,1.41e-05,0.126,0.506,128.07,82
6Qn5zhYkTa37e91HC1D7lb,0.672,0.655,-5.021,0.0311,0.0362,0,0.117,0.556,134.945,82
0AS63m1wHv9n4VVRizK6Hc,0.555,0.662,-4.952,0.0827,0.125,0,0.111,0.356,148.128,82
3dhjNA0jGA8vHBQ1VdD6vV,0.773,0.819,-5.946,0.118,0.428,0,0.0679,0.585,92.987,82
58zsLZPvfflaiIbNWoA22O,0.602,0.707,-4.097,0.302,0.393,0,0.165,0.554,75.087,82
5vjLSffimiIP26QG5WcN2K,0.618,0.443,-9.681,0.0526,0.469,0,0.0829,0.167,119.949,81
2ekn2ttSfGqwhhate0LSR0,0.762,0.7,-6.021,0.0694,0.00261,1.56e-05,0.153,0.608,116.073,81
5Z3GHaZ6ec9bsiI5BenrbY,0.799,0.539,-6.351,0.0421,0.199,1.66e-05,0.165,0.394,136.948,81
2Y0iGXY6m6immVb2ktbseM,0.705,0.712,-6.156,0.0385,0.0102,0.000855,0.1,0.62,97.512,81
2yLa0QULdQr0qAIvVwN6B5,0.613,0.764,-6.509,0.136,0.0527,0,0.197,0.417,160.015,81
75ZvA4QfFiZvzhj2xkaWAh,0.556,0.538,-5.408,0.0382,0.0689,0,0.196,0.291,143.95,81
6HZILIRieu8S0iqY8kIKhj,0.638,0.523,-6.664,0.357,0.00454,0,0.0842,0.422,139.913,81
2cYqizR4lgvp4Qu6IQ3qGN,0.763,0.628,-5.85,0.05,0.0531,0,0.114,0.193,140.958,81
6h5PAsRni4IRlxWr6uDPTP,0.646,0.741,-4.973,0.034,0.0275,0,0.312,0.571,123.077,81
0afhq8XCExXpqazXczTSve,0.624,0.876,-3.374,0.1,0.0735,0,0.327,0.781,99.943,80
55n9yjI6qqXh5F2mYvUc2y,0.731,0.445,-8.418,0.0533,0.0586,1.96e-05,0.14,0.106,117.97,80
1e1JKLEDKP7hEQzJfNAgPl,0.791,0.582,-7.323,0.286,0.0114,0,0.35,0.443,162.991,80
6b8Be6ljOzmkOmFslEb23P,0.818,0.803,-4.282,0.0797,0.034,0,0.153,0.632,106.97,80
1f5cbQtDrykjarZVrShaDI,0.839,0.81,-5.274,0.0568,0.501,0,0.117,0.814,129.014,79
6PCUP3dWmTjcTtXY02oFdT,0.461,0.834,-4.868,0.0989,0.0232,1.14e-05,0.14,0.471,135.007,80
6Pgkp4qUoTmJIPn7ReaGxL,0.662,0.858,-4.844,0.0428,0.00163,0,0.0456,0.295,133.993,79
5eqK0tbzUPo2SoeZsov04s,0.884,0.347,-8.227,0.35,0.015,7e-06,0.0871,0.376,75.016,79
6QgjcU0zLnzq5OrUoSZ3OK,0.801,0.795,-5.115,0.0504,0.0417,0.000113,0.0717,0.754,79.028,78
