id, danceability, energy, loudness, speechiness, acousticness, instrumentalness, liveness, valence, tempo, popularity
6DCZcSspjsKoFjzjrWoCdn,0.754,0.449,-9.211,0.109,0.0332,8.29e-05,0.552,0.357,77.169,86
0e7ipj03S05BNilyu5bRzt,0.585,0.52,-6.136,0.0712,0.124,7.01e-05,0.131,0.129,159.801,85
0u2P5u6lvoDfwTYjAADbn4,0.351,0.296,-10.109,0.0333,0.934,0,0.095,0.12,115.284,89
09mEdoA6zrmBPgTEN5qXmN,0.461,0.593,-4.954,0.0356,0.17,0,0.307,0.175,134.17,88
3GCdLUSnKSMJhs4Tj6CV3s,0.698,0.633,-4.946,0.0597,0.0605,0.000194,0.0926,0.552,96.924,85
285pBltuF7vW8TeWk8hdRR,0.511,0.566,-7.23,0.2,0.349,0,0.34,0.218,83.903,85
09IStsImFySgyp0pIQdqAc,0.753,0.657,-3.061,0.0449,0.171,0,0.112,0.437,107.01,81
08bNPGLD8AhKpnnERrAc6G,0.626,0.88,-2.384,0.0504,0.205,0,0.128,0.534,95.079,79
58q2HKrzhC3ozto2nDdN4z,0.816,0.726,-3.998,0.129,0.099,0,0.372,0.65,136.048,79
6IPwKM3fUUzlElbvKw2sKl,0.566,0.366,-12.808,0.028,0.113,0.181,0.155,0.237,129.96,84
2qT1uLXPVPzGgFOx4jtEuo,0.699,0.713,-5.507,0.0594,0.04,3.11e-06,0.294,0.354,121.993,78
6PGoSes0D9eUDeeAafB2As,0.8,0.585,-7.343,0.0924,0.264,0,0.153,0.779,126.058,84
7ef4DlsgrMEH11cDZd32M6,0.791,0.862,-3.24,0.11,0.037,2.19e-05,0.0814,0.592,123.994,87
7sO5G9EABYOXQKNPNiE9NR,0.88,0.428,-8.28,0.206,0.149,5.05e-05,0.114,0.333,100.007,84
2xLMifQCjDGFmkHkpNLD9h,0.834,0.73,-3.714,0.222,0.00513,0,0.124,0.446,155.008,84
0JP9xo3adEtGSdUEISiszL,0.921,0.537,-5.723,0.0804,0.556,0.00404,0.102,0.711,128.009,84
2dpaYNEQHiRxtZbfNsse99,0.687,0.792,-2.749,0.0452,0.191,0,0.167,0.671,100.015,84
6NFyWDv5CjfwuzoCkw47Xf,0.75,0.404,-10.178,0.0682,0.216,0.000357,0.0911,0.0499,95.045,83
6vN77lE9LK6HP2DewaN6HZ,0.963,0.346,-9.309,0.53,0.0355,0,0.108,0.562,119.957,83
0EcQcdcbQeVJn9fknj44Be,0.753,0.505,-7.621,0.255,0.534,2.58e-06,0.104,0.419,91.972,82
7dt6x5M1jzdTEt8oCbisTK,0.68,0.578,-5.804,0.04,0.331,0,0.135,0.341,145.038,82
52okn5MNA47tk87PeZJLEL,0.662,0.714,-5.68,0.121,0.312,0,0.179,0.464,147.997,82
3ee8Jmje8o58CHK66QrVC2,0.74,0.613,-4.88,0.145,0.258,0.00372,0.123,0.473,75.023,83
2FY7b99s15jUprqC0M5NCT,0.704,0.611,-6.112,0.0409,0.217,0,0.0812,0.22,100.0,82
2BgEsaKNfHUdlh97KmvFyo,0.697,0.683,-2.881,0.117,0.0372,0,0.137,0.603,96.133,82
0tBbt8CrmxbjRP0pueQkyU,0.724,0.804,-4.614,0.0448,0.124,0,0.204,0.306,124.987,80
7vGuf3Y35N4wmASOKLUVVU,0.52,0.761,-3.093,0.0853,0.256,4.96e-06,0.17,0.286,141.971,82
1xzBco0xcoJEDXktl7Jxrr,0.729,0.625,-5.266,0.0315,0.194,0.00986,0.248,0.261,146.034,80
76cy1WJvNGJTj78UqeA5zr,0.836,0.544,-5.975,0.0943,0.0403,0,0.0824,0.51,97.028,80
3EPXxR3ImUwfayaurPi3cm,0.553,0.586,-6.319,0.0362,0.697,0,0.0813,0.443,126.684,80
0E9ZjEAyAwOXZ7wJC0PD33,0.694,0.77,-5.335,0.149,0.176,1.1e-05,0.118,0.163,125.905,79
0TlLq3lA83rQOYtrqBqSct,0.912,0.412,-8.074,0.123,0.0165,0.0126,0.104,0.423,154.983,79
7AFASza1mXqntmGtbxXprO,0.669,0.308,-10.068,0.029,0.883,0,0.0984,0.52,64.934,79
5OCJzvD7sykQEKHH7qAC3C,0.602,0.658,-5.934,0.0558,0.0233,6e-05,0.237,0.268,145.031,79
4ofwffwvvnbSkrMSCKQDaC,0.673,0.735,-4.733,0.0457,0.286,0,0.242,0.754,115.744,78
3swc6WTsr7rl9DqQKQA55C,0.75,0.56,-8.094,0.105,0.546,0,0.111,0.459,140.06,78
1j6xOGusnyXq3l6IryKF3G,0.681,0.788,-4.323,0.0785,0.0482,0,0.0753,0.839,170.019,78
5k38wzpLb15YgncyWdTZE4,0.589,0.731,-6.343,0.0868,0.0534,0,0.308,0.191,87.908,78
4w8niZpiMy6qz1mntFA5uM,0.842,0.801,-4.167,0.228,0.157,4.82e-06,0.0642,0.617,95.881,78
3CA9pLiwRIGtUBiMjbZmRw,0.585,0.909,-6.474,0.0707,0.0891,9.7e-05,0.119,0.758,93.372,79
3V8UKqhEK5zBkBb6d6ub8i,0.903,0.675,-3.445,0.214,0.542,1.28e-05,0.0595,0.442,96.507,77
2UVbBKQOdFAekPTRsnkzcf,0.817,0.816,-5.402,0.269,0.00263,0,0.159,0.508,181.982,77
5Gu0PDLN4YJeW75PpBSg9p,0.664,0.708,-4.154,0.0474,0.0337,0,0.0841,0.742,103.07,77
