danceability, energy, loudness, speechiness, acousticness, instrumentalness, liveness, valence, tempo, popularity
0.718,0.467,-9.66,0.0398,0.707,6.92e-05,0.126,0.396,95.96,91
0.624,0.766,-3.805,0.0359,0.199,8.62e-06,0.156,0.37,172.08,82
0.768,0.644,-6.671,0.136,0.736,0.000837,0.173,0.53,95.05,96
0.498,0.764,-5.006,0.0309,0.123,3.07e-05,0.119,0.489,147.984,82
0.74,0.697,-4.912,0.034,0.0268,0,0.224,0.732,138.992,90
0.706,0.648,-6.348,0.324,0.505,0,0.215,0.802,77.533,83
0.661,0.6,-4.495,0.125,0.401,0,0.141,0.848,148.666,86
0.851,0.642,-5.281,0.216,0.0658,0,0.0713,0.701,143.091,79
0.783,0.729,-3.549,0.0691,0.0492,0.000272,0.1,0.58,167.968,92
0.504,0.771,-4.231,0.0319,0.0123,1.89e-05,0.078,0.555,157.985,76
0.464,0.724,-5.019,0.0705,0.0188,0,0.679,0.303,82.526,78
0.584,0.453,-6.682,0.0661,0.753,0,0.111,0.328,124.913,74
0.768,0.74,-6.595,0.336,0.696,6.81e-06,0.23,0.532,141.059,85
0.956,0.515,-9.962,0.337,0.305,0,0.156,0.69,119.937,86
0.516,0.322,-11.762,0.0292,0.473,0.00194,0.215,0.261,148.005,91
0.778,0.632,-5.6,0.0493,0.274,0,0.0915,0.498,122.104,96
0.571,0.549,-7.38,0.404,0.18,0,0.168,0.447,119.497,90
0.838,0.297,-8.224,0.056,0.0109,4.6e-06,0.109,0.395,83.524,74
0.481,0.797,-4.094,0.201,0.404,0,0.368,0.495,96.237,85
0.698,0.312,-10.9,0.0483,0.797,0,0.1,0.419,92.138,86
0.462,0.251,-12.072,0.159,0.414,0,0.201,0.137,89.705,78
0.834,0.834,-4.035,0.0591,0.0671,0,0.373,0.344,130.024,80
0.674,0.873,-4.256,0.0285,0.0482,0,0.18,0.946,115.01,72
0.558,0.648,-7.081,0.055,0.226,7.76e-06,0.0986,0.844,143.876,94
0.662,0.398,-6.691,0.0275,0.716,0,0.111,0.468,107.001,85
0.4,0.647,-7.279,0.0337,0.176,5.79e-05,0.11,0.274,84.08,75
0.65,0.474,-10.902,0.14,0.486,0.000235,0.0729,0.279,134.073,79
0.447,0.441,-7.658,0.0456,0.874,4.36e-05,0.188,0.286,122.811,79
0.736,0.8,-5.38,0.0525,0.179,0,0.0498,0.961,140.253,91
0.613,0.765,-5.058,0.0318,0.259,4.28e-06,0.0832,0.343,139.993,81
0.436,0.409,-4.438,0.0533,0.499,0.000166,0.38,0.363,98.357,88
0.776,0.688,-5.75,0.127,0.00645,0,0.0757,0.43,99.122,68
0.645,0.8,-4.272,0.0363,0.0189,1.12e-05,0.0858,0.375,118.977,78
0.628,0.632,-5.932,0.0325,0.257,0,0.288,0.559,137.854,73
0.491,0.643,-4.309,0.0442,0.187,0,0.109,0.779,162.469,91
0.723,0.631,-7.302,0.49,0.1,0,0.289,0.486,159.913,73
0.488,0.67,-5.759,0.0268,0.0969,0.00022,0.257,0.484,142.139,81
